State,LGA,11: Separate house,"21: Semi-detached, row or terrace house, townhouse etc. with : One storey","22: Semi-detached, row or terrace house, townhouse etc. with : Two or more storeys",31: Flat or apartment: In a one or two storey block,32: Flat or apartment: In a three storey block,33: Flat or apartment: In a four or more storey block,34: Flat or apartment: Attached to a house,91: Caravan,"92: Cabin, houseboat","93: Improved home, tent, sleepers out","94: House or flat attached to a shop, office, etc.",Z: Not stated
3: Queensland,39799: Migratory - Offshore - Shipping (Qld),0,0,0,0,0,0,0,0,0,0,0,0
3: Queensland,37600: Yarrabah (S),300,49,3,34,0,0,0,0,3,8,0,0
3: Queensland,37570: Wujal Wujal (S),68,0,0,11,0,0,0,0,0,0,0,0
3: Queensland,37550: Woorabinda (S),204,27,0,0,0,0,0,0,0,0,0,0
3: Queensland,37400: Winton (S),121,6,0,19,0,0,0,8,4,0,5,4
3: Queensland,37340: Whitsunday (R),2648,336,384,600,120,37,3,81,36,5,9,79
3: Queensland,37310: Western Downs (R),3445,351,29,340,0,0,0,20,14,4,22,41
3: Queensland,37300: Weipa (T),377,128,158,33,0,0,0,3,8,11,0,0
3: Queensland,37010: Townsville (C),16692,2953,2096,1608,1113,1035,7,97,66,6,16,97
3: Queensland,36960: Torres Strait Island (R),873,48,4,6,0,0,0,0,3,0,0,0
3: Queensland,36950: Torres (S),529,27,30,81,16,0,0,0,3,17,4,0
3: Queensland,36910: Toowoomba (R),12414,3056,1007,1773,57,19,3,35,28,3,47,134
3: Queensland,36820: Tablelands (R),2010,177,33,315,0,0,0,51,31,8,8,18
4: South Australia,42030: Gawler (T),1724,788,45,82,0,0,0,12,10,0,0,14
4: South Australia,42110: Goyder (DC),313,31,0,0,0,0,0,4,0,0,3,4
4: South Australia,42250: Grant (DC),382,11,0,3,0,0,0,4,0,0,0,3
4: South Australia,45040: Murray Bridge (RC),2035,589,13,37,0,0,0,10,14,3,0,17
4: South Australia,46860: Robe (DC),139,12,3,3,0,0,0,3,0,0,3,0
4: South Australia,46670: Renmark Paringa (DC),799,90,0,161,0,0,0,11,6,0,0,35
4: South Australia,46510: Prospect (C),952,609,205,687,16,0,3,0,0,0,14,18
4: South Australia,46450: Port Pirie City and Dists (M),1424,587,3,92,0,0,0,19,6,0,3,17
4: South Australia,46300: Port Lincoln (C),1219,416,48,232,0,0,0,3,9,0,6,13
4: South Australia,46090: Port Augusta (C),1104,462,10,275,0,0,0,14,25,0,3,21
4: South Australia,45890: Port Adelaide Enfield (C),8800,4511,1193,2298,118,224,3,9,14,0,30,82
4: South Australia,45680: Playford (C),7707,3552,581,269,48,0,0,10,15,0,0,26
4: South Australia,45540: Peterborough (DC),147,12,0,7,0,0,0,0,3,0,0,0
4: South Australia,45400: Orroroo/Carrieton (DC),50,4,0,0,0,0,0,0,0,0,0,4
4: South Australia,45340: Onkaparinga (C),11890,2217,347,602,34,26,3,62,42,5,5,44
4: South Australia,45290: Norwood Payneham St Peters (C),1524,1328,829,1513,175,98,3,0,12,0,20,24
4: South Australia,45120: Northern Areas (DC),351,20,0,3,0,0,0,3,3,0,6,11
4: South Australia,45090: Naracoorte and Lucindale (DC),752,66,0,48,0,0,0,0,8,0,4,3
4: South Australia,44830: Mount Remarkable (DC),164,10,0,3,0,0,0,9,4,0,3,0
4: South Australia,42600: Holdfast Bay (C),1211,1402,371,933,355,330,0,0,7,0,29,21
4: South Australia,44620: Mount Gambier (C),1780,997,23,721,0,10,0,9,12,0,0,21
4: South Australia,44550: Mount Barker (DC),2452,306,8,42,0,0,0,14,14,0,3,6
4: South Australia,44340: Mitcham (C),2285,660,82,1253,105,5,0,0,0,0,8,24
4: South Australia,44210: Mid Murray (DC),633,28,0,6,0,0,0,12,4,0,3,10
4: South Australia,44060: Marion (C),4946,3231,1042,1553,3,3,3,5,14,0,10,53
4: South Australia,44000: Maralinga Tjarutja (AC),15,0,0,0,0,0,0,0,0,0,0,0
4: South Australia,43920: Mallala (DC),360,15,0,5,0,0,0,3,4,0,0,4
4: South Australia,43790: Loxton Waikerie (DC),905,110,0,109,0,0,0,8,7,0,3,5
4: South Australia,43710: Lower Eyre Peninsula (DC),329,17,0,0,0,0,0,6,8,3,0,0
4: South Australia,43650: Light (RegC),684,43,0,9,0,0,0,0,0,0,0,7
4: South Australia,43360: Kingston (DC) (SA),218,16,0,9,0,0,0,5,0,0,0,3
4: South Australia,43220: Kimba (DC),93,0,0,0,0,0,0,0,0,0,0,3
4: South Australia,43080: Karoonda East Murray (DC),85,0,0,0,0,0,0,0,0,0,4,0
4: South Australia,42750: Kangaroo Island (DC),437,31,0,21,0,0,0,0,3,0,3,6
5: Western Australia,53640: Gnowangerup (S),132,12,0,0,0,0,0,0,0,0,0,4
5: Western Australia,53710: Goomalling (S),94,7,0,0,0,0,0,0,0,0,0,3
5: Western Australia,53780: Gosnells (C),6987,1603,178,171,92,0,0,47,0,0,31,31
6: Tasmania,61610: Devonport (C),2385,641,82,122,0,5,0,5,26,0,4,5
6: Tasmania,60610: Burnie (C),1836,355,82,72,30,41,0,0,0,0,8,13
6: Tasmania,60810: Central Coast (M) (Tas.),1457,390,15,59,0,0,3,9,15,0,6,7
6: Tasmania,61010: Central Highlands (M) (Tas.),194,0,0,3,0,0,0,0,0,0,0,7
6: Tasmania,61210: Circular Head (M),771,3,0,41,0,0,0,0,3,3,4,3
6: Tasmania,61410: Clarence (C),3923,450,160,199,59,0,0,7,16,0,9,11
6: Tasmania,61510: Derwent Valley (M),780,74,19,57,0,0,0,3,0,0,8,3
6: Tasmania,61810: Dorset (M),547,46,0,20,0,0,0,0,4,0,3,4
5: Western Australia,58610: Wagin (S),135,38,0,0,0,0,0,0,0,0,0,0
6: Tasmania,62010: Flinders (M) (Tas.),148,0,0,8,0,0,0,0,0,0,0,0
6: Tasmania,62210: George Town (M),621,82,0,100,0,0,0,0,7,0,0,3
