X,Y,OBJECTID,ROAD,ROAD_NAME,COMMON_USAGE_NAME,START_SLK,END_SLK,CWY,START_TRUE_DIST,END_TRUE_DIST,NETWORK_TYPE,XSP,RA_NO,RA_NAME,LG_NO,LG_NAME,REST_AREA_TYPE,STAY_24_HOUR,REST_AREA_NAME,OWNERSHIP,INFORMATION_BOARD,SCENIC_LOOKOUT,COMMEMORATION_WAY,SURFACE,SURFACE_TYPE,SURFACE_AREA,CONSTRUCTED_SHELTER,NATURAL_SHADE,LIGHTING_PRESENT,NUMBER_OF_BINS,NUMBER_OF_TOILETS,ACCESSIBLE_TOILETS,EFFLUENT_DUMP_SITE,NUMBER_OF_TABLES,ACCESSIBLE_TABLES,ROUTE_NE_ID
127.4446395,-31.91486495,126840,H003,Eyre Hwy,Eyre Hwy,568.2,568.2,Single,567.73,567.73,State Road,Left,5,Goldfields - Esperance,603,Dundas,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247631
118.92108,-33.93917664,126841,H008,South Coast Hwy,Hassell Rd,175.79,175.79,Single,175.63,175.63,State Road,Left,1,Great Southern,318,Jerramungup,Minor Rest Area,No,Jerramungup Rest Area,Main Roads,Yes,No,,Surfaced,Single Seal,,Yes,Yes,Powered Site,1,1,No,No,1,No,247842
125.2166703,-17.13137494,126842,M012,Gibb River,Derby Gibb River Rd,188.19,188.19,Single,188.19,188.19,State Road,Left,6,Kimberley,3,Derby - West Kimberley,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,,,No,No,,No,247644
116.8074054,-22.87089522,126843,M029,Nanutarra Munjina,Nanutarra Munjina Rd,155.56,155.56,Single,155.56,155.56,State Road,Right,11,Pilbara,811,Ashburton,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247800
117.5403905,-34.3522706,126844,H001,Albany Hwy,Albany Hwy,324.02,324.02,Single,323.61,323.61,State Road,Left,1,Great Southern,304,Cranbrook,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,Yes,,1,0,No,No,0,No,247561
117.7170853,-31.63395854,126845,H005,Great Eastern Hwy,Massingham St,199.72,199.72,Single,200.38,200.38,State Road,Left,8,Wheatbelt,409,Kellerberrin,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,400,Yes,No,Powered Site,1,0,No,No,0,No,247651
121.9363618,-18.65316952,126846,H006,Great Northern Hwy,Great Northern Hwy,2034.5,2034.5,Single,2043.03,2043.03,State Road,Left,6,Kimberley,1,Broome,Minor Rest Area,No,,Main Roads,No,No,Warlu Way,Unsurfaced,,,No,No,,,,No,No,,No,247653
115.7738852,-32.43013457,126847,H002,Melville Mandurah Hwy,Mandurah Rd,45.18,45.18,Left,45.18,45.18,State Road,Left,7,Metropolitan,107,Rockingham (C),Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,2,0,No,No,0,No,247815
116.8788769,-33.03048732,126848,H001,Albany Hwy,Albany Hwy,158.54,158.54,Single,158.59,158.59,State Road,Right,8,Wheatbelt,430,Williams,Minor Rest Area,No,,Other,No,No,,Surfaced,Asphalt Intersection Mix,,Yes,No,,1,1,Yes,No,1,Yes,247561
119.5613389,-20.25333213,126849,H006,Great Northern Hwy,Great Northern Hwy,1715.46,1715.46,Single,1709,1709,State Road,Right,11,Pilbara,812,East Pilbara,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,No,,2,0,No,No,0,No,247653
