Scientific Name,Common Name,Threatened status,Kingdom,Class,Family,Genus,Species,Species Author,Profile,Date extracted
Sannantha crenulata,Fern-leaf Baeckea,Vulnerable,Plantae,Magnoliopsida,Myrtaceae,Sannantha,crenulata,(F.Muell.) Peter G.Wilson,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83096,2020-Oct-12
Cryptoblepharus gurrmul,Arafura Snake-eyed Skink,Endangered,Animalia,Reptilia,Scincidae,Cryptoblepharus,gurrmul,"Horner, 2007",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83106,2020-Oct-12
Euastacus dharawalus,Fitzroy Falls Spiny Crayfish,Critically Endangered,Animalia,Malacostraca,Parastacidae,Euastacus,dharawalus,"Morgan, 1997",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83143,2020-Oct-12
Liopholis kintorei,"Great Desert Skink, Tjakura, Warrarna, Mulyamiji",Vulnerable,Animalia,Reptilia,Scincidae,Liopholis,kintorei,"(Stirling  Zietz, 1893)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83160,2020-Oct-12
Bellatorias obiri,Arnhem Land Egernia,Endangered,Animalia,Reptilia,Scincidae,Bellatorias,obiri,"(Wells and Wellington, 1984)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83161,2020-Oct-12
Liopholis pulchra longicauda,"Jurien Bay Skink, Jurien Bay Rock-skink",Vulnerable,Animalia,Reptilia,Scincidae,Liopholis,pulchra,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83162,2020-Oct-12
Liopholis slateri slateri,"Slater's Skink, Floodplain Skink",Endangered,Animalia,Reptilia,Scincidae,Liopholis,slateri,"(Storr, 1968)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83163,2020-Oct-12
Darwinia foetida,Muchea Bell,Critically Endangered,Plantae,Magnoliopsida,Myrtaceae,Darwinia,foetida,Keighery,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83190,2020-Oct-12
Darwinia nubigena,"Success Bell, Red Mountain Bell",Vulnerable,Plantae,Magnoliopsida,Myrtaceae,Darwinia,nubigena,Keighery,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83191,2020-Oct-12
Darwinia polychroma,Harlequin Bell,Endangered,Plantae,Magnoliopsida,Myrtaceae,Darwinia,polychroma,Keighery,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83192,2020-Oct-12
Darwinia whicherensis,Abba Bell,Endangered,Plantae,Magnoliopsida,Myrtaceae,Darwinia,whicherensis,Keighery,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83193,2020-Oct-12
