Scientific Name,Common Name,Threatened status,Kingdom,Class,Family,Genus,Species,Species Author,Profile,Date extracted
Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",Vulnerable,Animalia,Mammalia,Otariidae,Neophoca,cinerea,"(Peron,1816)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=22,2020-Oct-12
Mirounga leonina,Southern Elephant Seal,Vulnerable,Animalia,Mammalia,Phocidae,Mirounga,leonina,"(Linnaeus,1758)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26,2020-Oct-12
Pseudomys novaehollandiae,"New Holland Mouse, Pookila",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,novaehollandiae,"(Waterhouse, 1843)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=96,2020-Oct-12
Balaenoptera borealis,Sei Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,borealis,"Lesson, 1828",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=34,2020-Oct-12
Balaenoptera musculus,Blue Whale,Endangered,Animalia,Mammalia,Balaenopteridae,Balaenoptera,musculus,"(Linnaeus, 1758)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=36,2020-Oct-12
Balaenoptera physalus,Fin Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,physalus,"(Linnaeus, 1758)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=37,2020-Oct-12
Megaptera novaeangliae,Humpback Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Megaptera,novaeangliae,"(Borowski, 1781)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=38,2020-Oct-12
Eubalaena australis,Southern Right Whale,Endangered,Animalia,Mammalia,Balaenidae,Eubalaena,australis,"(Desmoulins, 1822)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=40,2020-Oct-12
Xeromys myoides,"Water Mouse, False Water Rat, Yirrkoo",Vulnerable,Animalia,Mammalia,Muridae,Xeromys,myoides,"Thomas, 1889",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66,2020-Oct-12
Zyzomys pedunculatus,"Central Rock-rat, Antina",Critically Endangered,Animalia,Mammalia,Muridae,Zyzomys,pedunculatus,"(Waite,1896)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68,2020-Oct-12
Pseudomys shortridgei,"Heath Mouse, Dayang, Heath Rat",Endangered,Animalia,Mammalia,Muridae,Pseudomys,shortridgei,"(Thomas, 1907)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77,2020-Oct-12
Pseudomys fumeus,"Smoky Mouse, Konoom",Endangered,Animalia,Mammalia,Muridae,Pseudomys,fumeus,"Brazenor,1934",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88,2020-Oct-12
Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,Animalia,Mammalia,Muridae,Pseudomys,gouldii,"(Waterhouse, 1839)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89,2020-Oct-12
Pseudomys oralis,"Hastings River Mouse, Koontoo",Endangered,Animalia,Mammalia,Muridae,Pseudomys,oralis,"Thomas,1921",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=98,2020-Oct-12
Pseudomys pilligaensis,"Pilliga Mouse, Poolkoo",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,pilligaensis,"Fox and Briscoe,1980",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=99,2020-Oct-12
Notomys macrotis,"Large-eared Hopping-mouse, Noompa, Big -eared Hopping-mouse",Extinct,Animalia,Mammalia,Muridae,Notomys,macrotis,"Thomas, 1921",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=101,2020-Oct-12
Notomys mordax,"Darling Downs Hopping-mouse, Payi",Extinct,Animalia,Mammalia,Muridae,Notomys,mordax,"Thomas, 1922",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=103,2020-Oct-12
Pseudomys australis,"Plains Rat, Palyoora, Plains Mouse",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,australis,"Gray,1832",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=108,2020-Oct-12
Pseudomys fieldi,"Shark Bay Mouse, Djoongari, Alice Springs Mouse",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,fieldi,"(Waite, 1896)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=113,2020-Oct-12
Notomys amplus,"Short-tailed Hopping-mouse, Yoontoo",Extinct,Animalia,Mammalia,Muridae,Notomys,amplus,"Brazenor, 1936",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=122,2020-Oct-12
Notomys aquilo,"Northern Hopping-mouse, Woorrentinta",Vulnerable,Animalia,Mammalia,Muridae,Notomys,aquilo,"Thomas,1921",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=123,2020-Oct-12
Notomys fuscus,"Dusky Hopping-mouse, Wilkiniti",Vulnerable,Animalia,Mammalia,Muridae,Notomys,fuscus,"(Jones,1925)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=125,2020-Oct-12
Notomys longicaudatus,"Long-tailed Hopping-mouse, Koolawa, Talamba",Extinct,Animalia,Mammalia,Muridae,Notomys,longicaudatus,"(Gould, 1844)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=126,2020-Oct-12
Conilurus albipes,"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",Extinct,Animalia,Mammalia,Muridae,Conilurus,albipes,"(Lichtenstein, 1829)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=131,2020-Oct-12
Conilurus penicillatus,"Brush-tailed Rabbit-rat, Brush-tailed Tree-rat, Pakooma",Vulnerable,Animalia,Mammalia,Muridae,Conilurus,penicillatus,"Gould, 1842",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=132,2020-Oct-12
Leporillus apicalis,"Lesser Stick-nest Rat,Tjooyalpi, White-tailed Stick-nest Rat",Extinct,Animalia,Mammalia,Muridae,Leporillus,apicalis,"(Gould, 1853)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=136,2020-Oct-12
Leporillus conditor,"Wopilkara, Greater Stick-nest Rat",Vulnerable,Animalia,Mammalia,Muridae,Leporillus,conditor,"(Sturt,1848)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=137,2020-Oct-12
Macroderma gigas,Ghost Bat,Vulnerable,Animalia,Mammalia,Megadermatidae,Macroderma,gigas,"(Dobson, 1880)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=174,2020-Oct-12
Hipposideros semoni,"Semon's Leaf-nosed Bat, Greater Wart-nosed Horseshoe-bat",Vulnerable,Animalia,Mammalia,Hipposideridae,Hipposideros,semoni,"Matschie,1903",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=180,2020-Oct-12
Chalinolobus dwyeri,"Large-eared Pied Bat, Large Pied Bat",Vulnerable,Animalia,Mammalia,Vespertilionidae,Chalinolobus,dwyeri,"Ryan,1966",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=183,2020-Oct-12
Pteropus conspicillatus,Spectacled Flying-fox,Endangered,Animalia,Mammalia,Pteropodidae,Pteropus,conspicillatus,"Gould, 1850",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=185,2020-Oct-12
Pteropus poliocephalus,Grey-headed Flying-fox,Vulnerable,Animalia,Mammalia,Pteropodidae,Pteropus,poliocephalus,"Temminck, 1825",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=186,2020-Oct-12
Potorous platyops,"Broad-faced Potoroo, Moda",Extinct,Animalia,Mammalia,Potoroidae,Potorous,platyops,"(Gould, 1844)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=195,2020-Oct-12
Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",Critically Endangered,Animalia,Mammalia,Vombatidae,Lasiorhinus,krefftii,"(Owen,1872)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=198,2020-Oct-12
Bettongia tropica,Northern Bettong,Endangered,Animalia,Mammalia,Potoroidae,Bettongia,tropica,"Wakefield,1967",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=214,2020-Oct-12
Caloprymnus campestris,Desert Rat-kangaroo,Extinct,Animalia,Mammalia,Potoroidae,Caloprymnus,campestris,"(Gould, 1843)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=215,2020-Oct-12
Potorous longipes,Long-footed Potoroo,Endangered,Animalia,Mammalia,Potoroidae,Potorous,longipes,"Seebeck and Johnston,1980",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=217,2020-Oct-12
Petrogale penicillata,Brush-tailed Rock-wallaby,Vulnerable,Animalia,Mammalia,Macropodidae,Petrogale,penicillata,"(Gray,1827)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=225,2020-Oct-12
Petrogale persephone,Proserpine Rock-wallaby,Endangered,Animalia,Mammalia,Macropodidae,Petrogale,persephone,"Maynes,1982",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=226,2020-Oct-12
Setonix brachyurus,Quokka,Vulnerable,Animalia,Mammalia,Macropodidae,Setonix,brachyurus,"(Quoy and Gaimard,1830)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=229,2020-Oct-12
Onychogalea fraenata,"Bridled Nail-tail Wallaby, Bridled Nailtail Wallaby",Endangered,Animalia,Mammalia,Macropodidae,Onychogalea,fraenata,"(Gould, 1841)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=239,2020-Oct-12
Onychogalea lunata,"Crescent Nailtail Wallaby, Tjawalpa, Wurrung",Extinct,Animalia,Mammalia,Macropodidae,Onychogalea,lunata,"(Gould, 1841)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=240,2020-Oct-12
Lagorchestes asomatus,"Kuluwarri, Central Hare-wallaby",Extinct,Animalia,Mammalia,Macropodidae,Lagorchestes,asomatus,"Finlayson, 1943",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=243,2020-Oct-12
Lagorchestes leporides,Eastern Hare-wallaby,Extinct,Animalia,Mammalia,Macropodidae,Lagorchestes,leporides,"(Gould, 1841)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=246,2020-Oct-12
Petauroides volans,Greater Glider,Vulnerable,Animalia,Mammalia,Petauridae,Petauroides,volans,"(Kerr, 1792)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=254,2020-Oct-12
Burramys parvus,Mountain Pygmy-possum,Endangered,Animalia,Mammalia,Burramyidae,Burramys,parvus,"Broom,1896",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=267,2020-Oct-12
Gymnobelideus leadbeateri,Leadbeater's Possum,Critically Endangered,Animalia,Mammalia,Petauridae,Gymnobelideus,leadbeateri,"McCoy, 1867",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=273,2020-Oct-12
Perameles eremiana,"Desert Bandicoot, Walilya",Extinct,Animalia,Mammalia,Peramelidae,Perameles,eremiana,"Spencer,1897",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=279,2020-Oct-12
Macrotis lagotis,Greater Bilby,Vulnerable,Animalia,Mammalia,Thylacomyidae,Macrotis,lagotis,"(Reid,1837)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=282,2020-Oct-12
Macrotis leucura,"Yallara, Lesser Bilby, Djoonpi",Extinct,Animalia,Mammalia,Thylacomyidae,Macrotis,leucura,"(Thomas, 1887)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=283,2020-Oct-12
Sminthopsis psammophila,Sandhill Dunnart,Endangered,Animalia,Mammalia,Dasyuridae,Sminthopsis,psammophila,"Spencer,1895",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=291,2020-Oct-12
Myrmecobius fasciatus,Numbat,Endangered,Animalia,Mammalia,Myrmecobiidae,Myrmecobius,fasciatus,"Waterhouse,1836",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=294,2020-Oct-12
Chaeropus ecaudatus,"Pig-footed Bandicoot, Kanjilpa, Wilalya",Extinct,Animalia,Mammalia,Peramelidae,Chaeropus,ecaudatus,"(Ogilby, 1838)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=297,2020-Oct-12
Sarcophilus harrisii,Tasmanian Devil,Endangered,Animalia,Mammalia,Dasyuridae,Sarcophilus,harrisii,"(Boitard, 1841)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=299,2020-Oct-12
Sminthopsis butleri,Butler's Dunnart,Vulnerable,Animalia,Mammalia,Dasyuridae,Sminthopsis,butleri,"Archer, 1979",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=302,2020-Oct-12
Sminthopsis douglasi,Julia Creek Dunnart,Vulnerable,Animalia,Mammalia,Dasyuridae,Sminthopsis,douglasi,"Archer,1979",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=305,2020-Oct-12
Parantechinus apicalis,Dibbler,Endangered,Animalia,Mammalia,Dasyuridae,Parantechinus,apicalis,"(Gray,1842)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=313,2020-Oct-12
Phascogale calura,"Red-tailed Phascogale, Red-tailed Wambenger, Kenngoor",Vulnerable,Animalia,Mammalia,Dasyuridae,Phascogale,calura,"Gould,1844",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=316,2020-Oct-12
Dasyuroides byrnei,"Kowari, brushy-tailed marsupial rat, Byrne's crest-tailed marsupial rat ",Vulnerable,Animalia,Mammalia,Dasyuridae,Dasyuroides,byrnei,"Spencer,1896",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=329,2020-Oct-12
Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,Animalia,Mammalia,Dasyuridae,Dasyurus,geoffroii,"Gould,1841",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=330,2020-Oct-12
Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",Endangered,Animalia,Mammalia,Dasyuridae,Dasyurus,hallucatus,"Gould,1842",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=331,2020-Oct-12
Dasyurus viverrinus,"Eastern Quoll, Luaner",Endangered,Animalia,Mammalia,Dasyuridae,Dasyurus,viverrinus,"(Shaw, 1800)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=333,2020-Oct-12
Thylacinus cynocephalus,"Thylacine, Tasmanian Tiger",Extinct,Animalia,Mammalia,Thylacinidae,Thylacinus,cynocephalus,"(Harris, 1808)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=342,2020-Oct-12
Antechinus bellus,Fawn Antechinus,Vulnerable,Animalia,Mammalia,Dasyuridae,Antechinus,bellus,"(Thomas,1904)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=344,2020-Oct-12
Erythrura gouldiae,Gouldian Finch,Endangered,Animalia,Aves,Estrildidae,Erythrura,gouldiae,"(Gould,1844)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=413,2020-Oct-12
Pardalotus quadragintus,Forty-spotted Pardalote,Endangered,Animalia,Aves,Pardalotidae,Pardalotus,quadragintus,"Gould,1838",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=418,2020-Oct-12
Manorina melanotis,Black-eared Miner,Endangered,Animalia,Aves,Meliphagidae,Manorina,melanotis,"(Wilson,1911)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=449,2020-Oct-12
Grantiella picta,Painted Honeyeater,Vulnerable,Animalia,Aves,Meliphagidae,Grantiella,picta,"(Gould,1838)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=470,2020-Oct-12
Dasyornis longirostris,Western Bristlebird,Endangered,Animalia,Aves,Pardalotidae,Dasyornis,longirostris,"Gould,1841",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=515,2020-Oct-12
Dasyornis brachypterus,Eastern Bristlebird,Endangered,Animalia,Aves,Pardalotidae,Dasyornis,brachypterus,"(Latham, 1802)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=533,2020-Oct-12
Amytornis dorotheae,Carpentarian Grasswren,Endangered,Animalia,Aves,Maluridae,Amytornis,dorotheae,"(Mathews,1914)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=558,2020-Oct-12
Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,Animalia,Aves,Maluridae,Amytornis,woodwardi,"Hartert,1905",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=564,2020-Oct-12
Pachycephala rufogularis,Red-lored Whistler,Vulnerable,Animalia,Aves,Pachycephalidae,Pachycephala,rufogularis,"Gould,1841",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=601,2020-Oct-12
Petroica multicolor,"Norfolk Island Robin, Pacific Robin",Vulnerable,Animalia,Aves,Petroicidae,Petroica,multicolor,"(Gmelin,1789)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=604,2020-Oct-12
Atrichornis clamosus,"Noisy Scrub-bird, Tjimiluk",Endangered,Animalia,Aves,Atrichornithidae,Atrichornis,clamosus,"(Gould, 1844)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=654,2020-Oct-12
Atrichornis rufescens,Rufous Scrub-bird,Endangered,Animalia,Aves,Atrichornithidae,Atrichornis,rufescens,"(Ramsay,1867)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=655,2020-Oct-12
Hirundapus caudacutus,White-throated Needletail,Vulnerable,Animalia,Aves,Apodidae,Hirundapus,caudacutus,"(Latham,1801)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=682,2020-Oct-12
Psephotus chrysopterygius,"Golden-shouldered Parrot, Alwal",Endangered,Animalia,Aves,Psittacidae,Psephotus,chrysopterygius,"Gould, 1858",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=720,2020-Oct-12
Psephotus pulcherrimus,Paradise Parrot,Extinct,Animalia,Aves,Psittacidae,Psephotus,pulcherrimus,"(Gould, 1845)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=723,2020-Oct-12
Polytelis swainsonii,Superb Parrot,Vulnerable,Animalia,Aves,Psittacidae,Polytelis,swainsonii,"(Desmarest,1826)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=738,2020-Oct-12
Lathamus discolor,Swift Parrot,Critically Endangered,Animalia,Aves,Psittacidae,Lathamus,discolor,"(Shaw, 1790)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=744,2020-Oct-12
Neophema chrysogaster,Orange-bellied Parrot,Critically Endangered,Animalia,Aves,Psittacidae,Neophema,chrysogaster,"(Latham,1790)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=747,2020-Oct-12
Polytelis alexandrae,"Princess Parrot, Alexandra's Parrot",Vulnerable,Animalia,Aves,Psittacidae,Polytelis,alexandrae,"Gould,1863",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=758,2020-Oct-12
Calyptorhynchus baudinii,"Baudin's Cockatoo, Long-billed Black-Cockatoo",Endangered,Animalia,Aves,Cacatuidae,Calyptorhynchus,baudinii,"Lear, 1832",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=769,2020-Oct-12
Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",Critically Endangered,Animalia,Aves,Scolopacidae,Numenius,madagascariensis,"(Linnaeus,1766)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=847,2020-Oct-12
Calidris canutus,"Red Knot, Knot",Endangered,Animalia,Aves,Scolopacidae,Calidris,canutus,"(Linnaeus, 1758)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=855,2020-Oct-12
Calidris ferruginea,Curlew Sandpiper,Critically Endangered,Animalia,Aves,Scolopacidae,Calidris,ferruginea,"(Pontoppidan,1763)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=856,2020-Oct-12
Calidris tenuirostris,Great Knot,Critically Endangered,Animalia,Aves,Scolopacidae,Calidris,tenuirostris,"(Horsfield,1821)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=862,2020-Oct-12
Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",Vulnerable,Animalia,Aves,Charadriidae,Charadrius,leschenaultii,"Lesson, 1826",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=877,2020-Oct-12
Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Endangered,Animalia,Aves,Charadriidae,Charadrius,mongolus,"Pallas,1776",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=879,2020-Oct-12
Pedionomus torquatus,Plains-wanderer,Critically Endangered,Animalia,Aves,Pedionomidae,Pedionomus,torquatus,"Gould,1841",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=906,2020-Oct-12
Turnix melanogaster,Black-breasted Button-quail,Vulnerable,Animalia,Aves,Turnicidae,Turnix,melanogaster,"(Gould,1837)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=923,2020-Oct-12
Falco hypoleucos,Grey Falcon,Vulnerable,Animalia,Aves,Falconidae,Falco,hypoleucos,"Gould,1841",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=929,2020-Oct-12
Leipoa ocellata,Malleefowl,Vulnerable,Animalia,Aves,Megapodiidae,Leipoa,ocellata,"Gould,1840",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=934,2020-Oct-12
Erythrotriorchis radiatus,Red Goshawk,Vulnerable,Animalia,Aves,Accipitridae,Erythrotriorchis,radiatus,"(Latham,1801)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=942,2020-Oct-12
Botaurus poiciloptilus,Australasian Bittern,Endangered,Animalia,Aves,Ardeidae,Botaurus,poiciloptilus,"(Wagler, 1827)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1001,2020-Oct-12
Fregata andrewsi,"Christmas Island Frigatebird, Andrew's Frigatebird",Endangered,Animalia,Aves,Fregatidae,Fregata,andrewsi,"Mathews,1914",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1011,2020-Oct-12
Pterodroma mollis,Soft-plumaged Petrel,Vulnerable,Animalia,Aves,Procellariidae,Pterodroma,mollis,"(Gould,1844)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1036,2020-Oct-12
Halobaena caerulea,Blue Petrel,Vulnerable,Animalia,Aves,Procellariidae,Halobaena,caerulea,"(Gmelin,1789)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1059,2020-Oct-12
Macronectes giganteus,"Southern Giant-Petrel, Southern Giant Petrel",Endangered,Animalia,Aves,Procellariidae,Macronectes,giganteus,"(Gmelin, 1789)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1060,2020-Oct-12
Macronectes halli,Northern Giant Petrel,Vulnerable,Animalia,Aves,Procellariidae,Macronectes,halli,"Mathews, 1912",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1061,2020-Oct-12
Phoebetria fusca,Sooty Albatross,Vulnerable,Animalia,Aves,Diomedeidae,Phoebetria,fusca,"(Hilsenberg,1822)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1075,2020-Oct-12
Aipysurus apraefrontalis,Short-nosed Seasnake,Critically Endangered,Animalia,Reptilia,Hydrophiidae,Aipysurus,apraefrontalis,"M.A. Smith, 1926",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1115,2020-Oct-12
Aipysurus foliosquama,Leaf-scaled Seasnake,Critically Endangered,Animalia,Reptilia,Hydrophiidae,Aipysurus,foliosquama,"M.A. Smith, 1926",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1118,2020-Oct-12
Hoplocephalus bungaroides,Broad-headed Snake,Vulnerable,Animalia,Reptilia,Elapidae,Hoplocephalus,bungaroides,"(Schlegel,1837)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1182,2020-Oct-12
Denisonia maculata,Ornamental Snake,Vulnerable,Animalia,Reptilia,Elapidae,Denisonia,maculata,"(Steindachner,1867)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1193,2020-Oct-12
Ramphotyphlops exocoeti,"Christmas Island Blind Snake, Christmas Island Pink Blind Snake",Vulnerable,Animalia,Reptilia,Typhlopidae,Ramphotyphlops,exocoeti,"(Boulenger, 1887)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1262,2020-Oct-12
Tiliqua adelaidensis,"Pygmy Blue-tongue Lizard, Adelaide Blue-tongue Lizard",Endangered,Animalia,Reptilia,Scincidae,Tiliqua,adelaidensis,"(Peters,1863)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1270,2020-Oct-12
Lerista vittata,"Mount Cooper Striped Skink, Mount Cooper Striped Lerista",Vulnerable,Animalia,Reptilia,Scincidae,Lerista,vittata,"Greer, McDonald and Lawrie,1983",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1308,2020-Oct-12
Lerista allanae,"Allan's Lerista, Retro Slider",Endangered,Animalia,Reptilia,Scincidae,Lerista,allanae,"(Longman,1937)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1378,2020-Oct-12
Emoia nativitatis,"Christmas Island Forest Skink, Christmas Island Whiptail-skink",Critically Endangered,Animalia,Reptilia,Scincidae,Emoia,nativitatis,"(Boulenger,1887)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1400,2020-Oct-12
