X,Y,OBJECTID,ROAD,ROAD_NAME,COMMON_USAGE_NAME,START_SLK,END_SLK,CWY,START_TRUE_DIST,END_TRUE_DIST,NETWORK_TYPE,XSP,RA_NO,RA_NAME,LG_NO,LG_NAME,REST_AREA_TYPE,STAY_24_HOUR,REST_AREA_NAME,OWNERSHIP,INFORMATION_BOARD,SCENIC_LOOKOUT,COMMEMORATION_WAY,SURFACE,SURFACE_TYPE,SURFACE_AREA,CONSTRUCTED_SHELTER,NATURAL_SHADE,LIGHTING_PRESENT,NUMBER_OF_BINS,NUMBER_OF_TOILETS,ACCESSIBLE_TOILETS,EFFLUENT_DUMP_SITE,NUMBER_OF_TABLES,ACCESSIBLE_TABLES,ROUTE_NE_ID
116.814751313,-31.371028985,127198,M032,Northam Pithara,Northam Pithara Rd,36.09,36.09,Single,36.09,36.09,State Road,Left,08,Wheatbelt,408,Goomalling,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,1500,No,Yes,,2,0,No,No,1,No,247805
114.864476142,-28.723246317,127199,H050,Geraldton Mt Magnet Rd,Geraldton Mt Magnet Rd,26.01,26.01,Single,26.86,26.86,State Road,Left,14,Mid West-Gascoyne,505,Greater Geraldton (C),Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Unsurfaced,,1280,No,No,,1,0,No,No,0,No,247642
115.908493392,-33.041875677,127200,H009,South Western Hwy,South Western Hwy,106.67,106.67,Single,106.51,106.51,State Road,Left,02,South West,211,Harvey,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,No,,4,0,No,No,0,No,247846
115.559121188,-30.7540625849999,127201,H004,Brand Hwy,Brand Hwy,106,106,Single,103.29,103.29,State Road,Right,14,Mid West-Gascoyne,504,Dandaragan,Heavy Vehicle Rest Area,No,Caltex Cataby,Main Roads,No,No,,Surfaced,Two Coat Seal,1100,No,No,,1,0,No,No,0,No,247578
114.776069334,-28.985820971,127202,H004,Brand Hwy,Brand Hwy,339.27,339.27,Single,337.12,337.12,State Road,Left,14,Mid West-Gascoyne,505,Greater Geraldton (C),Roadhouse,No,S-Bends Caravan Park,Other,No,No,,,,,Yes,Yes,Powered Site,0,1,No,No,1,No,247578
116.094368084,-32.727036573,127203,M053,Pinjarra Williams,Pinjarra Williams Rd,26.95,26.95,Single,26.93,26.93,State Road,Left,02,South West,215,Murray,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,,,No,Yes,,0,0,No,No,0,No,247817
114.634251491,-26.8688151759999,127204,H007,North West Coastal Hwy,North West Coastal Hwy,227.65,227.65,Single,225.91,225.91,State Road,Left,14,Mid West-Gascoyne,804,Shark Bay,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,1493,No,No,,2,0,No,No,0,No,247803
118.739953977,-22.7309850999999,127205,H006,Great Northern Hwy,Great Northern Hwy,1314.06,1314.06,Single,1306.9,1306.9,State Road,Left,11,Pilbara,811,Ashburton,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,2,0,No,No,0,No,247653
120.050955275,-27.9403178279999,127206,M069,Mt Magnet Leinster Rd,Agnew Sandstone Rd,233.6,233.6,Single,233.6,233.6,State Road,Left,05,Goldfields - Esperance,701,Sandstone,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,2000,No,No,,2,0,No,No,0,No,279527004
124.945129156,-32.336955196,127207,H003,Eyre Hwy,Eyre Hwy,319.62,319.62,Single,319.38,319.38,State Road,Right,05,Goldfields - Esperance,603,Dundas,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247631
113.806186036,-25.0662742219999,127208,H007,North West Coastal Hwy,North West Coastal Hwy,450.08,450.08,Single,448.34,448.34,State Road,Left,14,Mid West-Gascoyne,803,Carnarvon,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,2990,Yes,No,,2,0,No,No,2,Yes,247803
128.2395793,-15.669061218,127209,H006,Great Northern Hwy,Great Northern Hwy,3162.57,3162.57,Single,3163.16,3163.16,State Road,Left,06,Kimberley,004,Wyndham - East Kimberley,Major Rest Area,No,Maggie Lillie,Main Roads,Yes,Yes,Savannah Way,Surfaced,Single Seal,,Yes,No,,,,No,No,4,No,247653
116.445853724,-20.901035457,127210,H007,North West Coastal Hwy,North West Coastal Hwy,1060.76,1060.76,Single,1056.46,1056.46,State Road,Left,11,Pilbara,814,Karratha (C),Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,No,,2,0,No,No,0,No,247803
116.183741117,-34.084890989,127211,H009,South Western Hwy,South Western Hwy,258.85,258.85,Single,258.48,258.48,State Road,Left,02,South West,203,Bridgetown - Greenbushes,Major Rest Area,No,,Main Roads,No,No,,,,,No,Yes,,0,0,No,No,0,No,247846
113.762916211,-24.783865303,127212,H007,North West Coastal Hwy,North West Coastal Hwy,489.75,489.75,Single,487.94,487.94,State Road,Right,14,Mid West-Gascoyne,803,Carnarvon,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,715,No,No,,2,0,No,No,0,No,247803
123.024017502,-32.064399769,127213,H003,Eyre Hwy,Eyre Hwy,125.52,125.52,Single,125.28,125.28,State Road,Right,05,Goldfields - Esperance,603,Dundas,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,2,0,No,No,0,No,247631
118.770007133,-21.5388065769999,127214,H006,Great Northern Hwy,Great Northern Hwy,1458.59,1458.59,Single,1451.48,1451.48,State Road,Left,11,Pilbara,813,Port Hedland (T),Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,2,0,No,No,0,No,247653
115.319453976,-30.009683868,127215,H004,Brand Hwy,Brand Hwy,201,201,Single,198.29,198.29,State Road,Right,14,Mid West-Gascoyne,519,Coorow,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,1467,No,No,,2,0,No,No,0,No,247578
125.182666059,-17.107796709,127216,M012,Gibb River,Derby Gibb River Rd,183.55,183.55,Single,183.55,183.55,State Road,Left,06,Kimberley,003,Derby - West Kimberley,Minor Rest Area,No,Ingles Gap,Main Roads,No,No,,Unsurfaced,,,No,No,,,,No,No,,No,247644
121.776549345,-32.1803195209999,127217,H010,Coolgardie Esperance Hwy,Coolgardie Esperance Hwy,163.7,163.7,Single,163.66,163.66,State Road,Left,05,Goldfields - Esperance,603,Dundas,Minor Rest Area,No,,Main Roads,Yes,No,,Surfaced,Two Coat Seal,1200,No,No,,1,0,No,No,0,No,247618
118.744322536,-31.386916156,127218,H005,Great Eastern Hwy,Great Eastern Hwy,306.46,306.46,Single,306.88,306.88,State Road,Right,08,Wheatbelt,611,Yilgarn,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,500,No,No,,1,0,No,No,0,No,247651
115.660897458,-32.6886408299999,127219,M074,Lakelands Lake Clifton,Old Coast Rd,31.74,31.74,Single,31.74,31.74,State Road,Left,02,South West,212,Mandurah (C),Minor Rest Area,No,,Main Roads,No,No,,,,,No,Yes,,1,0,No,No,1,No,210559820
117.627244993,-34.6309163399999,127220,M024,Muir,Muir Hwy,157.57,157.57,Single,157.04,157.04,State Road,Left,01,Great Southern,312,Plantagenet,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,No,,1,0,No,No,0,No,247796
123.669301083,-17.344069529,127221,M012,Gibb River,Derby Gibb River Rd,0.51,0.51,Single,0.51,0.51,State Road,Left,06,Kimberley,003,Derby - West Kimberley,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,,,No,No,,No,247644
121.889689865,-33.8241839189999,127222,H010,Coolgardie Esperance Hwy,Coolgardie Esperance Hwy,363.94,363.94,Single,363.86,363.86,State Road,Left,05,Goldfields - Esperance,604,Esperance,Minor Rest Area,No,,Main Roads,Yes,No,,Surfaced,Two Coat Seal,1800,Yes,Yes,,2,0,No,No,0,No,247618
121.564942588,-19.3401328849999,127223,H006,Great Northern Hwy,Great Northern Hwy,1946.53,1946.53,Single,1955.06,1955.06,State Road,Left,06,Kimberley,001,Broome,Minor Rest Area,No,,Main Roads,No,No,Warlu Way,Unsurfaced,,,No,No,,,,No,No,,No,247653
118.794030413,-28.009765827,127224,M069,Mt Magnet Leinster Rd,Mt Magnet Sandstone Rd,103.57,103.57,Single,103.57,103.57,State Road,Right,14,Mid West-Gascoyne,701,Sandstone,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,770,No,No,,2,0,No,No,0,No,279527004
118.727086157,-22.7231100979999,127225,H006,Great Northern Hwy,Great Northern Hwy,1315.65,1315.65,Single,1308.49,1308.49,State Road,Right,11,Pilbara,811,Ashburton,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247653
116.15397958,-31.32608806,127226,H006,Great Northern Hwy,Great Northern Hwy,72.66,72.66,Single,68.58,68.58,State Road,Left,08,Wheatbelt,502,Chittering,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Surfaced,Asphalt Intersection Mix,1000,Yes,Yes,,3,2,Yes,No,2,Yes,247653
116.80757326,-20.798678572,127227,H007,North West Coastal Hwy,North West Coastal Hwy,1101.83,1101.83,Single,1097.53,1097.53,State Road,Left,11,Pilbara,814,Karratha (C),Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,2,0,No,No,0,No,247803
113.577501808,-25.9941280319999,127228,M011,Shark Bay,Shark Bay Rd,118.84,118.84,Single,118.84,118.84,State Road,Left,14,Mid West-Gascoyne,804,Shark Bay,Minor Rest Area,No,26th Parallel,Main Roads,No,No,,Unsurfaced,,490,No,No,,1,0,No,No,0,No,247841
117.993940685,-34.584278798,127229,M001,Albany Lake Grace,Chester Pass Rd,40.98,40.98,Single,40.82,40.82,State Road,Left,01,Great Southern,312,Plantagenet,Minor Rest Area,No,Woogenellup Rest area,Main Roads,No,No,,Surfaced,Single Seal,,No,No,,2,0,No,No,0,No,247560
116.710411473,-31.390302623,127230,M060,Goomalling Toodyay,Goomalling Toodyay Rd,16.3,16.3,Single,16.3,16.3,State Road,Right,08,Wheatbelt,408,Goomalling,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,400,No,Yes,,1,0,No,No,0,No,247648
113.704039033,-24.8616399759999,127231,H007,North West Coastal Hwy,North West Coastal Hwy,475.93,475.93,Single,474.22,474.22,State Road,Left,14,Mid West-Gascoyne,803,Carnarvon,Minor Rest Area,No,,Main Roads,Yes,No,,Surfaced,Single Seal,315,Yes,No,,2,0,No,No,2,No,247803
115.421371121,-33.8965552139999,127232,M081,Sues Rd,Sues Rd,27.57,27.57,Single,27.57,27.57,State Road,Right,02,South West,201,Augusta - Margaret River,Major Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,Yes,,0,0,No,No,0,No,247852
115.90899479,-33.7317774969999,127233,H009,South Western Hwy,South Western Hwy,206.49,206.49,Single,206.14,206.14,State Road,Right,02,South West,217,Donnybrook - Balingup,Major Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,No,,0,0,No,No,0,No,247846
120.34727062,-33.5958465259999,127234,H008,South Coast Hwy,South Coast Hwy,319.74,319.74,Single,320.37,320.37,State Road,Right,01,Great Southern,610,Ravensthorpe,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247842
116.118991774,-33.919423594,127235,H009,South Western Hwy,South Western Hwy,238.02,238.02,Single,237.65,237.65,State Road,Left,02,South West,203,Bridgetown - Greenbushes,Minor Rest Area,No,,Main Roads,No,No,,,,,Yes,Yes,,0,0,No,No,0,No,247846
117.779522608,-29.005161271,127236,H006,Great Northern Hwy,Great Northern Hwy,438.52,438.52,Single,433.6,433.6,State Road,Left,14,Mid West-Gascoyne,707,Yalgoo,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,1045,No,No,,2,0,No,No,0,No,247653
124.103259538,-32.4366457749999,127237,H003,Eyre Hwy,Eyre Hwy,239.69,239.69,Single,239.45,239.45,State Road,Right,05,Goldfields - Esperance,603,Dundas,Major Rest Area,Yes,,Main Roads,No,No,,Surfaced,Two Coat Seal,1150,Yes,Yes,,4,1,Yes,Yes,4,No,247631
116.590772053,-32.307615343,127238,H052,Brookton Hwy,Brookton Hwy,64.52,64.52,Single,64.65,64.65,State Road,Right,08,Wheatbelt,401,Beverley,Minor Rest Area,Yes,,Main Roads,No,No,,Unsurfaced,,,No,Yes,,1,0,No,No,1,No,247583
121.317979402,-19.613773071,127239,H006,Great Northern Hwy,Great Northern Hwy,1906.33,1906.33,Single,1914.86,1914.86,State Road,Left,06,Kimberley,001,Broome,Minor Rest Area,No,,Main Roads,No,No,Warlu Way,Unsurfaced,,,No,No,,,,No,No,,No,247653
116.254995097,-21.063804789,127240,H007,North West Coastal Hwy,North West Coastal Hwy,1032.65,1032.65,Single,1028.35,1028.35,State Road,Right,11,Pilbara,814,Karratha (C),Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,No,,2,0,No,No,0,No,247803
118.817023345,-21.5795939189999,127241,H006,Great Northern Hwy,Great Northern Hwy,1451.72,1451.72,Single,1444.61,1444.61,State Road,Left,11,Pilbara,813,Port Hedland (T),Heavy Vehicle Rest Area,No,Remont,Main Roads,No,No,,Surfaced,Two Coat Seal,3195,No,No,,6,1,Yes,No,0,No,247653
116.037207746,-21.42046006,127242,H007,North West Coastal Hwy,North West Coastal Hwy,984.06,984.06,Single,979.76,979.76,State Road,Left,11,Pilbara,814,Karratha (C),Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,No,,2,0,No,No,0,No,247803
118.190475914,-20.7744251239999,127243,H007,North West Coastal Hwy,North West Coastal Hwy,1264.3,1264.3,Single,1260,1260,State Road,Left,11,Pilbara,813,Port Hedland (T),Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,No,,2,0,No,No,0,No,247803
118.586546604,-34.505696042,127244,H008,South Coast Hwy,South Coast Hwy,94.08,94.08,Single,93.92,93.92,State Road,Left,01,Great Southern,302,Albany (C),Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247842
120.002274791,-33.5739025849999,127245,H008,South Coast Hwy,South Coast Hwy,285.77,285.77,Single,285.61,285.61,State Road,Right,01,Great Southern,610,Ravensthorpe,Major Rest Area,Yes,Meridian rest area,Main Roads,No,No,,Unsurfaced,,,Yes,Yes,,3,0,No,No,3,No,247842
124.75624257,-17.3930855999999,127246,M012,Gibb River,Derby Gibb River Rd,119.49,119.49,Single,119.49,119.49,State Road,Right,06,Kimberley,003,Derby - West Kimberley,Minor Rest Area,No,,Other,No,No,,Unsurfaced,,,No,No,,,,No,No,,No,247644
118.447503029,-20.553434576,127247,H006,Great Northern Hwy,Great Northern Hwy,1579.2,1579.2,Single,1571.99,1571.99,State Road,Left,11,Pilbara,813,Port Hedland (T),Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,No,,1,0,No,No,0,No,247653
117.346333311,-20.896073319,127248,H007,North West Coastal Hwy,North West Coastal Hwy,1166.2,1166.2,Single,1161.9,1161.9,State Road,Left,11,Pilbara,814,Karratha (C),Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,No,,1,0,No,No,0,No,247803
127.322654387,-18.525769023,127249,H006,Great Northern Hwy,Great Northern Hwy,2760.43,2760.43,Single,2768.96,2768.96,State Road,Right,06,Kimberley,002,Halls Creek,Minor Rest Area,No,,Main Roads,No,No,Savannah Way,Surfaced,Single Seal,,No,No,,,,No,No,,No,247653
121.271268911,-29.358358503,127250,H049,Goldfields Hwy,Goldfields Hwy,252.92,252.92,Single,252.65,252.65,State Road,Left,05,Goldfields - Esperance,609,Menzies,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,Yes,No,,2,0,No,No,3,No,247645
118.438622943,-20.575222219,127251,H006,Great Northern Hwy,Great Northern Hwy,1576.45,1576.45,Single,1569.34,1569.34,State Road,Right,11,Pilbara,813,Port Hedland (T),Heavy Vehicle Rest Area,No,Gnh/NWCH Inter,Main Roads,No,No,,Surfaced,Two Coat Seal,,No,No,,1,0,No,No,0,No,247653
120.308076331,-26.8812402899999,127252,H049,Goldfields Hwy,Goldfields Hwy,572.13,572.13,Single,571.86,571.86,State Road,Right,05,Goldfields - Esperance,706,Wiluna,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,1500,No,No,,2,0,No,No,0,No,247645
