COMMON_USAGE_NAME,RESPONSIBILITY_AREA,LOCAL_GOVERNMENT_NAME,REST_AREA_TYPE,STAY_24_HOUR,OWNERSHIP,SURFACE,SURFACE_TYPE,CONSTRUCTED_SHELTER,NATURAL_SHADE,NUMBER_OF_BINS,NUMBER_OF_TOILETS,ACCESSIBLE_TOILETS,NUMBER_OF_TABLES,ACCESSIBLE_TABLES,LATITUDE,LONGITUDE
Great Eastern Hwy,Wheatbelt,Cunderdin,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,Yes,0,0,No,0,No,-31.6516768889999,117.230915841
South Coast Hwy,Great Southern,Ravensthorpe,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-33.6501861429999,119.787150829
Hopetoun-Ravensthorpe Rd,Great Southern,Ravensthorpe,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,1,0,No,0,No,-33.9342036629999,120.128077261
Shark Bay Rd,Mid West-Gascoyne,Shark Bay,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-26.1923797279999,113.689418055
South Coast Hwy,Goldfields - Esperance,Esperance,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,Yes,No,3,0,No,1,No,-33.741512288,121.701057281
Great Northern Hwy,Pilbara,Broome,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-19.827277264,120.720200099
Great Northern Hwy,Pilbara,Meekatharra,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-23.447964902,119.796190801
Geraldton Mt Magnet Rd,Mid West-Gascoyne,Greater Geraldton (C),Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-28.471764735,115.831006555
Brand Hwy,Mid West-Gascoyne,Irwin,Heavy Vehicle Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-29.5767863309999,115.133442966
Albany Hwy,Wheatbelt,Boddington,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-32.783048337,116.596126003
North West Coastal Hwy,Mid West-Gascoyne,Northampton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-28.264570142,114.625504855
North West Coastal Hwy,Mid West-Gascoyne,Carnarvon,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,1,Yes,-24.8946355379999,113.708611722
Bussell Hwy,South West,Augusta - Margaret River,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-34.1533244359999,115.100829105
Geraldton Mt Magnet Rd,Mid West-Gascoyne,Greater Geraldton (C),Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-28.693206032,115.133904862
Great Northern Hwy,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-22.304160081,118.728307576
Shark Bay Rd,Mid West-Gascoyne,Shark Bay,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-26.4413856789999,114.058424352
Goldfields Hwy,Goldfields - Esperance,Leonora,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,2,No,-28.2277707229999,121.085623139
Great Southern Hwy,Great Southern,Cranbrook,Major Rest Area,No,Main Roads,Surfaced,Single Seal,Yes,No,4,0,No,2,Yes,-34.315221658,117.52509624
Northam Pithara Rd,Wheatbelt,Wongan - Ballidu,Heavy Vehicle Rest Area,Yes,Main Roads,Surfaced,Two Coat Seal,No,No,0,0,No,0,No,-30.941829433,116.745296033
Great Southern Hwy,Wheatbelt,Cuballing,Heavy Vehicle Rest Area,Yes,Main Roads,Surfaced,Single Seal,No,Yes,2,0,No,1,No,-32.736805589,117.163843006
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.4093411609999,115.761115953
Great Southern Hwy,Great Southern,Woodanilling,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,1,0,No,0,No,-33.5039343459999,117.407518116
Northam Pithara Rd,Wheatbelt,Goomalling,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,1,No,-31.143469846,116.809343557
Northam Pithara Rd,Wheatbelt,Wongan - Ballidu,Heavy Vehicle Rest Area,Yes,Main Roads,Surfaced,Two Coat Seal,No,No,0,0,No,0,No,-30.7646782959999,116.755689324
Midlands Rd,Mid West-Gascoyne,Carnamah,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,1,0,No,2,No,-29.687733914,115.88354013
Marble Bar Rd,Pilbara,East Pilbara,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,No,2,0,No,0,No,-21.8856895869999,120.109238162
Great Southern Hwy,Great Southern,Katanning,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-33.747853817,117.596544647
